url,country,city,niche,missing,city_source,source_file
a1plumbingandheating.ca,Canada,unknown,hvac,city,unmapped,hvac_scores4b.csv
afmplumbingheating.com,Canada,unknown,hvac,city,unmapped,hvac_scores2.csv
andrewmilne.sutton.com/agent/106837/andrew-milne,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
anneliesecairns.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
annelin.sutton.com/agent/92040/anne-lin,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
anthonyrautirealestate.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
bishopsplumbing.ca,Canada,unknown,hvac,city,unmapped,hvac_scores4b.csv
bluekeynl.com/cody-walsh,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
bonitahutchins.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
borderplumbingandheating.com,Canada,unknown,hvac,city,unmapped,hvac_scores4b.csv
bridgeair.ca,Canada,unknown,hvac,city,unmapped,hvac_scores5b.csv
callbates.ca,Canada,unknown,hvac,city,unmapped,hvac_scores4b.csv
cambridgeplumbingandwaterconditioning.ca,Canada,unknown,hvac,city,unmapped,hvac_scores4a.csv
centennialplumbing.com,Canada,unknown,hvac,city,unmapped,hvac_scores3.csv
cjplumbingheating.ca,Canada,unknown,hvac,city,unmapped,hvac_scores5b.csv
clplumbing.ca,Canada,unknown,hvac,city,unmapped,hvac_scores5b.csv
courtneybush.royallepage.ca,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
davidnguyen.realtor,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
dawesnl.ca,Canada,unknown,hvac,city,unmapped,hvac_scores4b.csv
delexplumbing.ca,Canada,unknown,hvac,city,unmapped,hvac_scores3.csv
derekhundal.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
donaldsonplumbingheating.ca,Canada,unknown,hvac,city,unmapped,hvac_scores5a.csv
downtownplumbing.ltd,Canada,unknown,hvac,city,unmapped,hvac_scores2.csv
drainstreaminc.com,Canada,unknown,hvac,city,unmapped,hvac_scores3.csv
dylanmeekrealty.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
elizabethmcqueen.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
erplumbingsolutions.com,Canada,unknown,hvac,city,unmapped,hvac_scores4a.csv
fondasplumbing.com,Canada,unknown,hvac,city,unmapped,hvac_scores5b.csv
fortisheating.com,Canada,unknown,hvac,city,unmapped,hvac_scores5a.csv
gomarshal.com,Canada,unknown,hvac,city,unmapped,hvac_scores4b.csv
grahamcoade.sutton.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
grantmechanicalinc.ca,Canada,unknown,hvac,city,unmapped,hvac_scores4a.csv
grmechanical.ca,Canada,unknown,hvac,city,unmapped,hvac_scores4b.csv
halipad.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
hammertownheatingandair.ca,Canada,unknown,hvac,city,unmapped,hvac_scores3.csv
heatprobc.ca,Canada,unknown,hvac,city,unmapped,hvac_scores5b.csv
hesseybros.ca,Canada,unknown,hvac,city,unmapped,hvac_scores4a.csv
hubleysplumbing.ca,Canada,unknown,hvac,city,unmapped,hvac_scores4b.csv
huntsheating.com,Canada,unknown,hvac,city,unmapped,hvac_scores2.csv
jasonbarbosa.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
jbplumbingsk.ca,Canada,unknown,hvac,city,unmapped,hvac_scores4b.csv
julieprasad.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
kristaklundert.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
kwnb.ca/agents/danie-degrace,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
kwnb.ca/agents/derick-jacques,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
kwnb.ca/agents/melodie-dickson,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
kwnb.ca/agents/tiffany-mcneill,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
kylaeastcoastrealtor.ca,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
kyromechanical.ca,Canada,unknown,hvac,city,unmapped,hvac_scores5a.csv
lamantiaheating.com,Canada,unknown,hvac,city,unmapped,hvac_scores4a.csv
lauradoucette.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
legendaryplumbing.ca,Canada,unknown,hvac,city,unmapped,hvac_scores5b.csv
mckaysheating.ca,Canada,unknown,hvac,city,unmapped,hvac_scores5a.csv
megangallant.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
michaelgillan.ca,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
mikestewart.ca,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
nancytranrealtor.com,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
novascotiarealtor.carrd.co,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
opmechanical.ca,Canada,unknown,hvac,city,unmapped,hvac_scores2.csv
parkwoodrealty.ca,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
plumbersbc.ca,Canada,unknown,hvac,city,unmapped,hvac_scores2.csv
preetanjanrealtor.ca,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
raymar.ca,Canada,unknown,realtor,city,unmapped,realtor_scores.csv
