url,country,city,city_source,niche,platform,perf,a11y,best_practices,seo,LCP_ms,CLS,TBT_ms,FCP_ms,bytes,load_category,error,measured_at,multi_city,source_file
atooth.com,US,Chicago,row,dental,,48,93,96,92,6226,0,645,4736,2903175,AVERAGE,,2026-09-26,no,Chicago_us_scores.csv
chicagocosmeticdentalcare.com,US,Chicago,row,dental,,38,85,92,85,10964,0,1017,3277,5654942,,,2026-09-26,no,Chicago_us_scores.csv
chicagodental312.com,US,Chicago,row,dental,unknown,60,89,92,100,15085,0,66,3306,4178810,,,2026-09-26,no,Chicago_us_scores.csv
chicagofamilydental.com,US,Chicago,row,dental,unknown,87,87,73,100,3172,0,72,1850,1028218,,,2026-09-26,no,Chicago_us_scores.csv
chicagoloopdentistry.com,US,Chicago,row,dental,unknown,70,87,96,92,3077,0,622,2402,2820768,,,2026-09-26,no,Chicago_us_scores.csv
downtown-dental.com,US,Chicago,row,dental,,30,93,77,92,16654,0,1818,4481,6000271,AVERAGE,,2026-09-26,no,Chicago_us_scores.csv
drflak.com,US,Chicago,row,dental,unknown,67,89,100,83,6348,0,44,1797,3209609,,,2026-09-26,no,Chicago_us_scores.csv
drramybahu.com,US,Chicago,row,dental,unknown,88,100,100,100,3542,0,0,2124,1922966,,,2026-09-26,no,Chicago_us_scores.csv
drsbloom.com,US,Chicago,row,dental,,64,86,96,100,7351,0,47,3601,1175026,,,2026-09-26,no,Chicago_us_scores.csv
everdentalstudio.com,US,Chicago,row,dental,WordPress,54,91,96,92,3976,0,301,1651,677969,,,2026-09-26,no,Chicago_us_scores.csv
impressionsdentalchicago.com,US,Chicago,row,dental,unknown,83,71,88,83,3084,0,0,2450,351711,,,2026-09-26,no,Chicago_us_scores.csv
intheloopdentist.com,US,Chicago,row,dental,WordPress,51,78,77,85,4910,0,71,3871,10603681,,,2026-09-26,no,Chicago_us_scores.csv
lakeviewdentalarts.com,US,Chicago,row,dental,Squarespace,36,92,100,100,17765,0,896,5416,3150252,,,2026-09-26,no,Chicago_us_scores.csv
lincolnavedentalgroup.com,US,Chicago,row,dental,Wix,35,91,96,100,9585,0,1344,3159,5143907,,,2026-09-26,no,Chicago_us_scores.csv
lpsdental.com,US,Chicago,row,dental,unknown,42,91,,100,5114,0,944,4212,2978269,SLOW,,2026-09-26,no,Chicago_us_scores.csv
lvdachicago.com,US,Chicago,row,dental,WordPress,52,78,81,85,12252,0,232,7435,2332577,,,2026-09-26,no,Chicago_us_scores.csv
parkwestfamilydental.com,US,Chicago,row,dental,WordPress,57,88,100,85,4143,0,34,4143,4789911,,,2026-09-26,no,Chicago_us_scores.csv
premierdentistrychicago.com,US,Chicago,row,dental,WordPress,77,87,100,100,4264,0,284,1351,505557,,,2026-09-26,no,Chicago_us_scores.csv
puredentalspa.com,US,Chicago,row,dental,,100,94,100,92,937,0,0,912,1027266,FAST,,2026-09-26,no,Chicago_us_scores.csv
strobeldentistry.com,US,Chicago,row,dental,WordPress,17,85,96,100,8366,1,769,3225,12466523,,,2026-09-26,no,Chicago_us_scores.csv
773hotcold.com,US,Chicago,row,hvac,WordPress,62,87,96,85,11510,0,79,2646,3868727,,,2026-09-26,no,Chicago_us_scores.csv
alltemp.com,US,Chicago,row,hvac,WordPress,53,100,100,100,3123,0,2445,1998,1076438,AVERAGE,,2026-09-26,no,Chicago_us_scores.csv
alwaysreadyrepair.com,US,Chicago,row,hvac,unknown,38,97,96,92,4727,0,2676,3527,20331743,AVERAGE,,2026-09-26,no,Chicago_us_scores.csv
berniesheating.com,US,Chicago,row,hvac,unknown,91,96,92,100,1230,0,372,921,952606,,,2026-09-26,no,Chicago_us_scores.csv
chicagocomforthvac.com,US,Chicago,row,hvac,WordPress,54,93,100,100,32393,0,150,6301,9827568,,,2026-09-26,no,Chicago_us_scores.csv
chicagohvacrepairdr.com,US,Chicago,row,hvac,WordPress,70,84,96,85,2860,0,459,2709,4440713,,,2026-09-26,no,Chicago_us_scores.csv
ecotemphvac.com,US,Chicago,row,hvac,WordPress,62,90,88,100,13981,0,408,1349,3522016,AVERAGE,,2026-09-26,no,Chicago_us_scores.csv
englerheating.com,US,Chicago,row,hvac,,43,82,77,92,10951,0,147,5852,3142708,,,2026-09-26,no,Chicago_us_scores.csv
enrights.com,US,Chicago,row,hvac,unknown,57,83,96,100,5614,0,456,1497,764720,,,2026-09-26,no,Chicago_us_scores.csv
expediencehvac.com,US,Chicago,row,hvac,WordPress,6,75,88,100,61358,0,3424,3752,11828695,,,2026-09-26,no,Chicago_us_scores.csv
firststarhvac.com,US,Chicago,row,hvac,unknown,65,95,96,100,8281,0,124,3305,1563113,,,2026-09-26,no,Chicago_us_scores.csv
fivestar247.com,US,Chicago,row,hvac,,59,82,73,85,8101,0,231,3542,4573584,,,2026-09-26,no,Chicago_us_scores.csv
flyplumbing.com,US,Chicago,row,hvac,unknown,67,91,96,85,5317,0,340,2694,2115266,FAST,,2026-09-26,no,Chicago_us_scores.csv
