url,country,city,city_source,niche,platform,perf,a11y,best_practices,seo,LCP_ms,CLS,TBT_ms,FCP_ms,bytes,load_category,error,measured_at,source_file
ontapsolutions.ca,Canada,Abbotsford,map,hvac,WordPress,45,94,73,100,10557,0,587,3403,4391137,,,2026-09-22,hvac_scores5b.csv
ringawayhvac.ca,Canada,Abbotsford,approved,hvac,,73,76,92,92,4051,0,233,2851,1644118,,,2026-09-22,hvac_scores5b.csv
banffcanmorehomesforsale.com,Canada,Banff,map,realtor,unknown,42,81,96,92,28351,0,958,2555,8777669,,,2026-09-23,realtor_scores.csv
banffrealestate.com,Canada,Banff,domain_token,realtor,WordPress,62,92,96,92,2911,0,751,2911,2745234,,,2026-09-23,realtor_scores.csv
barriebackflow.ca,Canada,Barrie,domain_token,hvac,unknown,96,85,96,92,2725,0,19,947,715461,,,2026-09-22,hvac_scores5a.csv
barrieheating.com,Canada,Barrie,map,hvac,WordPress,28,90,96,92,35795,0,271,5569,8898134,SLOW,,2026-09-22,hvac_scores5a.csv
centralheatingontario.com,Canada,Barrie,research,hvac,WordPress,86,82,96,92,2576,0,0,1098,371562,,,2026-09-22,hvac_scores5a.csv
plumberinbarrie.com,Canada,Barrie,domain_token,hvac,WordPress,50,86,69,92,17405,0,107,13355,4930539,,,2026-09-22,hvac_scores5a.csv
wbplumbing.ca,Canada,Barrie,research,hvac,WordPress,54,92,100,100,8701,0,379,2437,2680022,,,2026-09-22,hvac_scores5a.csv
berginmotion.ca,Canada,Barrie,map,physio,unknown,60,81,73,100,14742,0,216,2483,15777903,AVERAGE,,2026-09-25,physio_scores4.csv
excitephysio.com,Canada,Barrie,map,physio,WordPress,56,72,96,100,16426,0,290,2552,2893168,,,2026-09-25,physio_scores4.csv
timrealestateguy.com,Canada,Bathurst,map,realtor,,36,80,96,85,19721,0,872,7351,6689955,,,2026-09-23,realtor_scores.csv
tracyjacques.ca,Canada,Bathurst,map,realtor,,49,81,100,85,5701,0,637,3517,2662124,,,2026-09-23,realtor_scores.csv
cdleblainvillier.com,Canada,Blainville,filename,dental,WordPress,62,98,100,100,7821,0,143,3627,1114458,,,2026-09-22,blainville_scores.csv
cliniquedentaire832.com,Canada,Blainville,filename,dental,,,,,,,,,,,,failed after retries,2026-09-22,blainville_scores2.csv
cliniquedentaireducarrefour.com,Canada,Blainville,filename,dental,WordPress,51,72,96,85,18681,0,258,6172,4782066,,,2026-09-22,blainville_scores.csv
cliniquedentaleluminus.com,Canada,Blainville,filename,dental,,,,,,,,,,,,failed after retries,2026-09-22,blainville_scores2.csv
dentiste-blainville.ca,Canada,Blainville,filename,dental,Wix,60,93,96,100,9346,0,275,3008,2873183,,,2026-09-22,blainville_scores.csv
dentiste-blainville.com,Canada,Blainville,filename,dental,unknown,67,72,96,82,5594,0,0,2627,2929087,,,2026-09-22,blainville_scores.csv
dentisteblainville.com,Canada,Blainville,filename,dental,WordPress,62,85,96,100,5439,0,0,4839,1585481,,,2026-09-22,blainville_scores.csv
dentistedesjardins.com,Canada,Blainville,map,dental,Squarespace,26,95,96,92,11123,0,689,6162,2410349,,,2026-09-22,blainville_scores.csv
dentisteriedavinci.com,Canada,Blainville,filename,dental,Wix,43,97,73,100,6580,0,754,3336,4252996,,,2026-09-22,blainville_scores2.csv
dentistesblainville.com,Canada,Blainville,filename,dental,Wix,56,97,73,100,6479,0,406,2556,4085964,,,2026-09-22,blainville_scores2.csv
eclipsedentisterie.com,Canada,Blainville,filename,dental,WordPress,58,91,73,100,5551,0,46,3946,1555508,,,2026-09-22,blainville_scores2.csv
lumident.ca,Canada,Blainville,filename,dental,,53,85,77,100,17513,0,189,10347,2723073,,,2026-09-22,blainville_scores.csv
kinatex.com/cliniques/boucherville,Canada,Boucherville,map,physio,WordPress,37,74,92,92,10137,0,2623,1555,5116219,AVERAGE,,2026-09-25,physio_scores2.csv
kinatex.com/cliniques/bromont,Canada,Bromont,map,physio,WordPress,38,69,92,92,10113,0,1938,1543,5173929,AVERAGE,,2026-09-25,physio_scores2.csv
kinatex.com/cliniques/brossard-dix30,Canada,Brossard,map,physio,WordPress,43,69,92,92,5201,0,2574,1538,5123856,AVERAGE,,2026-09-25,physio_scores2.csv
bankershallcalgarydental.ca,Canada,Calgary,map,dental,Tymbrel,41,89,96,92,4922,0,394,2458,1702137,,,2026-09-21,calgary_scores.csv
bowtraildental.com,Canada,Calgary,map,dental,WordPress,37,73,73,85,27136,0,503,12373,6220740,SLOW,,2026-09-21,calgary_scores.csv
calgarydentalchoice.ca,Canada,Calgary,filename,dental,,,,,,,,,,,,failed after retries,2026-09-21,calgary_scores.csv
calgarydentalstudio.ca,Canada,Calgary,map,dental,WordPress,48,100,100,100,8650,0,55,4536,1042515,,,2026-09-21,calgary_scores.csv
centraldental.ca,Canada,Calgary,filename,dental,,,,,,,,,,,,failed after retries,2026-09-21,calgary_scores.csv
crescentdental.ca,Canada,Calgary,filename,dental,WordPress,29,79,73,100,9764,0,1722,4110,6416541,SLOW,,2026-09-21,calgary_scores.csv
crescentheightsdentalclinic.ca,Canada,Calgary,map,dental,,,,,,,,,,,,failed after retries,2026-09-21,calgary_scores.csv
downtowndentist.ca,Canada,Calgary,map,dental,WordPress,34,82,88,92,11326,0,1558,3527,3623902,,,2026-09-21,calgary_scores.csv
forestlawndental.ca,Canada,Calgary,map,dental,,,,,,,,,,,,failed after retries,2026-09-21,calgary_scores.csv
forestlawndentalcentre.ca,Canada,Calgary,filename,dental,Wix,31,89,96,92,11471,0,2630,3611,5242650,,,2026-09-21,calgary_scores.csv
